Timestamp,MitreTechniques,is_preparation_alert,is_intrusion_alert,is_compromise_alert,phase
2024-06-06T06:04:48.000000,T1566,true,false,false,1
2024-06-06T06:04:48.000000,T1566,true,false,false,1
2024-06-06T06:04:48.000000,T1566,true,false,false,1
2024-06-06T06:22:48.000000,T1078;T1078.004,true,true,false,2
2024-06-06T06:22:48.000000,T1078;T1078.004,true,true,false,2
2024-06-06T06:22:48.000000,T1078;T1078.004,true,true,false,2
2024-06-12T16:54:12.000000,T1052.001,false,false,true,4
2024-06-12T16:54:12.000000,T1052.001,false,false,true,4
2024-06-12T16:54:12.000000,T1052.001,false,false,true,4
2024-06-12T16:54:12.000000,T1052.001,false,false,true,4
2024-06-14T11:40:17.000000,T1078;T1078.004,true,true,false,2
2024-06-14T11:40:17.000000,T1078;T1078.004,true,true,false,2
2024-06-14T11:40:17.000000,T1078;T1078.004,true,true,false,2
